tag_id,date,stage,origin,fork_length_mm,action,species
989.001042044743,2023-05-31,downstream,wild,84,unclip,ck
989.001044927375,2023-06-06,downstream,wild,64,unclip,ck
989.001042044672,2023-05-31,downstream,wild,80,unclip,ck
989.001042045993,2023-05-08,downstream,wild,105,unclip,co
989.001042045993,2023-05-08,downstream,wild,105,unclip,co
989.001042045993,2023-05-08,downstream,wild,105,unclip,co
989.001042045993,2023-05-08,downstream,wild,105,unclip,co
989.001042044605,2023-05-15,downstream,wild,98,unclip,co
989.001042044605,2023-05-15,downstream,wild,98,unclip,co
989.001044927698,2023-06-07,downstream,wild,69,unclip,ck
989.001042041597,2022-06-20,downstream,wild,71,unclip,ck
989.001042044839,2023-05-31,downstream,wild,65,unclip,ck
989.001044925835,2023-06-05,downstream,wild,70,unclip,ck
989.001045158222,2023-06-14,downstream,wild,67,unclip,ck
989.001044926926,2023-06-06,downstream,wild,68,unclip,ck
989.001044926926,2023-06-06,downstream,wild,68,unclip,ck
989.001044926926,2023-06-06,downstream,wild,68,unclip,ck
989.001045158351,2023-06-14,downstream,wild,69,unclip,ck
989.001044929912,2023-06-06,downstream,wild,63,unclip,ck
989.001044929912,2023-06-06,downstream,wild,63,unclip,ck
989.001044929912,2023-06-06,downstream,wild,63,unclip,ck
989.001045158376,2023-06-14,downstream,wild,103,unclip,co
989.001045158376,2023-06-14,downstream,wild,103,unclip,co
989.001045158376,2023-06-14,downstream,wild,103,unclip,co
989.001042041849,2022-06-17,downstream,wild,72,unclip,ck
989.001044931834,2023-05-30,downstream,wild,74,unclip,ck
989.001042044833,2023-05-31,downstream,wild,70,unclip,ck
989.001042047023,2022-06-09,downstream,wild,84,unclip,ck
989.001044930764,2023-06-02,downstream,wild,70,unclip,ck
989.001044925001,2023-06-07,downstream,wild,66,unclip,ck
989.001044925001,2023-06-07,downstream,wild,66,unclip,ck
989.001044930823,2023-06-02,downstream,wild,62,unclip,ck
989.001044927576,2023-06-05,downstream,wild,75,unclip,ck
989.001042042925,2022-06-22,downstream,wild,103,unclip,co
989.001044926290,2023-06-06,downstream,wild,64,unclip,ck
989.001042044517,2023-05-17,downstream,wild,202,unclip,ct
989.001042044517,2023-05-17,downstream,wild,202,unclip,ct
989.001042044517,2023-05-17,downstream,wild,202,unclip,ct
989.001042044517,2023-05-17,downstream,wild,202,unclip,ct
